config,params,test_acc,size_MB,latency_ms,latency_std_ms,ratio
baseline,1528106,0.9338,6.24,50.54,2.04,0.0
prune 10% zero-shot,1240101,0.1504,5.08,47.11,4.69,0.1
prune 20% zero-shot,986506,0.1123,4.06,41.05,1.99,0.2
prune 30% zero-shot,762585,0.0763,3.16,35.9,1.27,0.3
prune 40% zero-shot,566775,0.0996,2.37,30.69,1.67,0.4
prune 50% zero-shot,403354,0.1054,1.72,25.81,1.07,0.5
prune 60% zero-shot,262541,0.0957,1.15,20.83,0.77,0.6
prune 70% zero-shot,153434,0.1,0.71,16.62,1.0,0.7
prune 80% zero-shot,73045,0.1,0.38,13.9,4.7,0.8
prune 90% zero-shot,21948,0.1,0.17,6.79,0.63,0.9
