config,ratio,params,test_acc,size_MB,latency_ms,latency_std_ms
baseline,0.0,1528106,0.9338,6.24,40.1,6.0
prune 10% + 3ep ft,0.1,1240101,0.895,5.08,34.2,2.26
prune 20% + 3ep ft,0.2,986506,0.7811,4.06,40.31,1.98
prune 30% + 3ep ft,0.3,762585,0.6804,3.16,35.86,1.95
prune 40% + 3ep ft,0.4,566775,0.566,2.37,30.94,1.87
prune 50% + 3ep ft,0.5,403354,0.5491,1.72,33.71,8.18
prune 60% + 3ep ft,0.6,262541,0.4488,1.15,21.69,1.59
prune 70% + 3ep ft,0.7,153434,0.4654,0.71,16.6,1.12
prune 80% + 3ep ft,0.8,73045,0.4086,0.38,11.26,0.67
prune 90% + 3ep ft,0.9,21948,0.3371,0.17,7.14,1.16
