gen,chromosome,fitness,proxy_acc,size_mb
0,"[5, 5, 4, 0, 2]",0.2930,0.2930,0.325
0,"[3, 1, 3, 4, 1]",0.2610,0.2610,0.201
0,"[5, 0, 0, 5, 1]",0.2540,0.2540,0.185
0,"[1, 1, 1, 5, 0]",0.2210,0.2210,0.127
0,"[1, 5, 5, 5, 2]",0.1860,0.1860,0.609
0,"[0, 1, 5, 3, 1]",0.1860,0.1860,0.189
0,"[1, 4, 4, 0, 2]",0.1720,0.1720,0.172
0,"[3, 0, 0, 0, 0]",0.1670,0.1670,0.029
0,"[0, 3, 0, 2, 1]",0.1450,0.1450,0.082
0,"[2, 1, 1, 2, 0]",0.1110,0.1110,0.068
1,"[5, 5, 4, 0, 2]",0.2930,0.2930,0.325
1,"[5, 5, 4, 0, 2]",0.2930,0.2930,0.325
1,"[5, 5, 4, 0, 2]",0.2930,0.2930,0.325
1,"[3, 1, 3, 4, 1]",0.2610,0.2610,0.201
1,"[5, 5, 0, 3, 1]",0.2370,0.2370,0.255
1,"[1, 5, 1, 5, 1]",0.2310,0.2310,0.251
1,"[5, 1, 3, 4, 1]",0.2010,0.2010,0.223
1,"[2, 0, 0, 5, 0]",0.1640,0.1640,0.100
1,"[5, 1, 1, 2, 0]",0.1570,0.1570,0.096
1,"[0, 1, 5, 0, 1]",0.1570,0.1570,0.084
2,"[5, 5, 4, 0, 2]",0.2930,0.2930,0.325
2,"[5, 5, 4, 0, 2]",0.2930,0.2930,0.325
2,"[5, 5, 4, 0, 2]",0.2930,0.2930,0.325
2,"[5, 5, 4, 0, 2]",0.2930,0.2930,0.325
2,"[5, 5, 0, 3, 2]",0.2830,0.2830,0.326
2,"[3, 5, 3, 0, 2]",0.2720,0.2720,0.206
2,"[5, 5, 3, 4, 1]",0.2710,0.2710,0.390
2,"[3, 1, 3, 4, 1]",0.2610,0.2610,0.201
2,"[3, 5, 4, 0, 2]",0.2240,0.2240,0.247
2,"[5, 5, 5, 0, 2]",0.2060,0.2060,0.367
3,"[5, 5, 4, 0, 2]",0.2930,0.2930,0.325
3,"[5, 5, 4, 0, 2]",0.2930,0.2930,0.325
3,"[5, 5, 4, 0, 2]",0.2930,0.2930,0.325
3,"[5, 5, 4, 0, 2]",0.2930,0.2930,0.325
3,"[5, 5, 1, 2, 2]",0.2890,0.2890,0.317
3,"[5, 1, 3, 0, 2]",0.2480,0.2480,0.117
3,"[3, 5, 4, 0, 2]",0.2240,0.2240,0.247
3,"[5, 5, 4, 0, 0]",0.2220,0.2220,0.292
3,"[5, 4, 4, 0, 2]",0.2090,0.2090,0.260
3,"[5, 2, 4, 0, 2]",0.1470,0.1470,0.163
4,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
4,"[5, 5, 4, 0, 2]",0.2930,0.2930,0.325
4,"[5, 5, 4, 0, 2]",0.2930,0.2930,0.325
4,"[5, 5, 4, 0, 2]",0.2930,0.2930,0.325
4,"[5, 5, 1, 2, 2]",0.2890,0.2890,0.317
4,"[4, 5, 4, 0, 2]",0.2570,0.2570,0.286
4,"[5, 5, 2, 0, 2]",0.2480,0.2480,0.263
4,"[5, 5, 4, 0, 0]",0.2220,0.2220,0.292
4,"[5, 4, 4, 0, 2]",0.2090,0.2090,0.260
4,"[5, 0, 4, 0, 2]",0.1850,0.1850,0.099
5,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
5,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
5,"[5, 5, 4, 0, 2]",0.2930,0.2930,0.325
5,"[5, 5, 4, 1, 2]",0.2930,0.2930,0.372
5,"[5, 5, 4, 0, 2]",0.2930,0.2930,0.325
5,"[5, 5, 4, 0, 2]",0.2930,0.2930,0.325
5,"[3, 5, 4, 2, 2]",0.2590,0.2590,0.341
5,"[5, 0, 4, 0, 2]",0.1850,0.1850,0.099
5,"[0, 5, 1, 2, 1]",0.1800,0.1800,0.126
5,"[2, 5, 4, 0, 2]",0.1720,0.1720,0.228
6,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
6,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
6,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
6,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
6,"[5, 2, 4, 5, 0]",0.2910,0.2910,0.285
6,"[5, 1, 4, 0, 2]",0.2570,0.2570,0.131
6,"[4, 5, 4, 0, 2]",0.2570,0.2570,0.286
6,"[5, 3, 4, 2, 2]",0.2300,0.2300,0.289
6,"[3, 2, 4, 2, 2]",0.2150,0.2150,0.225
6,"[5, 5, 5, 2, 2]",0.2050,0.2050,0.469
7,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
7,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
7,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
7,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
7,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
7,"[5, 5, 4, 0, 2]",0.2930,0.2930,0.325
7,"[5, 5, 0, 2, 2]",0.2780,0.2780,0.291
7,"[5, 1, 0, 3, 2]",0.2740,0.2740,0.201
7,"[5, 1, 4, 2, 2]",0.2570,0.2570,0.224
7,"[5, 5, 5, 2, 2]",0.2050,0.2050,0.469
8,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
8,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
8,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
8,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
8,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
8,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
8,"[5, 5, 1, 2, 2]",0.2890,0.2890,0.317
8,"[5, 1, 0, 0, 2]",0.2270,0.2270,0.096
8,"[5, 5, 0, 2, 0]",0.2090,0.2090,0.209
8,"[5, 1, 0, 2, 2]",0.1980,0.1980,0.166
9,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
9,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
9,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
9,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
9,"[5, 5, 4, 2, 0]",0.2820,0.2820,0.336
9,"[5, 1, 4, 2, 2]",0.2570,0.2570,0.224
9,"[5, 4, 4, 2, 1]",0.2340,0.2340,0.299
9,"[5, 3, 4, 2, 2]",0.2300,0.2300,0.289
9,"[5, 5, 4, 4, 2]",0.2000,0.2000,0.559
9,"[2, 5, 4, 2, 2]",0.1810,0.1810,0.321
10,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
10,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
10,"[5, 5, 4, 2, 1]",0.3010,0.3010,0.364
10,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
10,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
10,"[4, 3, 4, 2, 2]",0.2670,0.2670,0.269
10,"[5, 4, 4, 2, 2]",0.2330,0.2330,0.354
10,"[5, 5, 5, 2, 2]",0.2050,0.2050,0.469
10,"[5, 5, 0, 1, 2]",0.1990,0.1990,0.256
10,"[2, 5, 4, 2, 2]",0.1810,0.1810,0.321
11,"[5, 5, 4, 3, 2]",0.3270,0.3270,0.465
11,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
11,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
11,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
11,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
11,"[5, 5, 5, 2, 0]",0.2440,0.2440,0.387
11,"[5, 5, 4, 4, 1]",0.2320,0.2320,0.455
11,"[4, 5, 4, 2, 1]",0.2130,0.2130,0.325
11,"[0, 2, 4, 2, 1]",0.2020,0.2020,0.147
11,"[5, 0, 4, 2, 0]",0.1720,0.1720,0.110
12,"[5, 5, 4, 3, 2]",0.3270,0.3270,0.465
12,"[5, 5, 4, 3, 2]",0.3270,0.3270,0.465
12,"[5, 5, 4, 3, 2]",0.3270,0.3270,0.465
12,"[5, 5, 4, 3, 2]",0.3270,0.3270,0.465
12,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
12,"[5, 5, 4, 2, 0]",0.2820,0.2820,0.336
12,"[5, 5, 4, 3, 0]",0.2400,0.2400,0.358
12,"[5, 5, 2, 2, 2]",0.2220,0.2220,0.342
12,"[5, 5, 2, 2, 2]",0.2220,0.2220,0.342
12,"[0, 5, 4, 0, 2]",0.1840,0.1840,0.189
13,"[5, 5, 4, 3, 2]",0.3270,0.3270,0.465
13,"[5, 5, 4, 3, 2]",0.3270,0.3270,0.465
13,"[5, 5, 4, 3, 2]",0.3270,0.3270,0.465
13,"[5, 5, 4, 3, 2]",0.3270,0.3270,0.465
13,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
13,"[5, 5, 4, 2, 2]",0.3010,0.3010,0.418
13,"[5, 5, 4, 3, 0]",0.2400,0.2400,0.358
13,"[5, 5, 4, 5, 2]",0.2400,0.2400,0.652
13,"[5, 1, 4, 3, 2]",0.2190,0.2190,0.271
13,"[2, 0, 4, 3, 2]",0.1840,0.1840,0.222
14,"[5, 5, 4, 3, 2]",0.3270,0.3270,0.465
14,"[5, 5, 4, 3, 2]",0.3270,0.3270,0.465
14,"[5, 5, 4, 3, 2]",0.3270,0.3270,0.465
14,"[5, 5, 4, 3, 2]",0.3270,0.3270,0.465
14,"[5, 5, 4, 3, 2]",0.3270,0.3270,0.465
14,"[5, 5, 4, 3, 2]",0.3270,0.3270,0.465
